team_id,goals_avg,points_avg
T-01,3.0,2.5
T-02,1.0,2.0
T-03,4.7,4.22
T-04,3.77,3.0
T-05,3.12,2.5
T-06,3.69,3.92
T-07,0.33,0.33
T-08,4.0,3.0
T-09,6.03,5.59
T-10,2.57,1.86
T-11,3.0,2.7
T-12,3.44,2.56
T-13,3.5,3.1
T-14,5.5,5.25
T-15,2.0,2.0
T-16,3.88,3.75
T-17,3.29,3.0
T-18,4.17,4.67
T-20,3.0,3.0
T-21,3.33,2.0
T-22,4.0,3.5
T-24,2.5,3.0
T-25,3.0,3.4
T-26,1.5,1.0
T-27,0.5,0.0
T-28,4.27,4.77
T-29,2.0,0.0
T-30,4.89,4.42
T-31,8.25,6.75
T-32,3.0,2.57
T-33,1.33,2.33
T-34,2.0,0.0
T-35,1.0,1.0
T-36,7.86,3.0
T-37,2.0,1.0
T-38,2.17,2.17
T-39,1.0,0.0
T-40,1.0,2.0
T-41,4.0,3.95
T-42,4.0,2.5
T-43,2.0,1.5
T-44,3.13,3.67
T-45,2.0,1.0
T-46,3.0,2.95
T-47,3.0,2.83
T-48,5.54,6.0
T-49,1.71,0.86
T-50,2.71,2.57
T-51,2.5,2.33
T-52,2.75,2.25
T-53,7.8,6.0
T-54,2.0,0.0
T-55,3.75,3.38
T-56,3.17,2.33
T-57,3.55,3.64
T-58,5.5,5.0
T-59,1.0,0.0
T-60,3.0,4.0
T-61,4.0,4.0
T-62,6.0,4.33
T-63,2.17,2.33
T-64,3.33,1.78
T-65,4.67,5.0
T-66,3.0,2.33
T-67,2.0,0.0
T-68,4.0,4.0
T-69,2.5,2.0
T-70,3.0,2.5
T-71,2.79,2.21
T-72,5.5,4.0
T-73,4.79,4.05
T-74,4.65,4.25
T-75,4.18,3.64
T-76,2.0,1.5
T-77,1.0,0.0
T-78,0.0,1.0
T-79,2.33,2.17
T-80,6.5,3.0
T-81,5.0,6.0
T-82,2.0,0.0
T-83,6.11,4.94
T-84,4.07,3.87
T-85,1.5,2.0
T-86,5.92,4.08
T-87,5.4,3.7
T-88,0.0,0.0
