year,award_name,count
1930,Bronze Boot,1
1930,Golden Boot,1
1930,Silver Boot,1
1934,Golden Boot,1
1934,Silver Boot,2
1938,Golden Boot,1
1938,Silver Boot,3
1950,Bronze Boot,4
1950,Golden Boot,1
1950,Silver Boot,1
1954,Golden Boot,1
1954,Silver Boot,3
1958,Best Young Player,1
1958,Golden Boot,1
1958,Silver Boot,2
1962,Best Young Player,1
1962,Golden Boot,6
1966,Best Young Player,1
1966,Bronze Boot,4
1966,Golden Boot,1
1966,Silver Boot,1
1970,Best Young Player,1
1970,Bronze Boot,1
1970,Golden Boot,1
1970,Silver Boot,1
1974,Best Young Player,1
1974,Golden Boot,1
1974,Silver Boot,2
1978,Best Young Player,1
1978,Bronze Ball,1
1978,Bronze Boot,1
1978,Golden Ball,1
1978,Golden Boot,1
1978,Silver Ball,1
1978,Silver Boot,1
1982,Best Young Player,1
1982,Bronze Ball,1
1982,Bronze Boot,1
1982,Golden Ball,1
1982,Golden Boot,1
1982,Silver Ball,1
1982,Silver Boot,1
1986,Best Young Player,1
1986,Bronze Ball,1
1986,Golden Ball,1
1986,Golden Boot,1
1986,Silver Ball,1
1986,Silver Boot,3
1990,Best Young Player,1
1990,Bronze Ball,1
1990,Bronze Boot,2
1990,Golden Ball,1
1990,Golden Boot,1
1990,Silver Ball,1
1990,Silver Boot,1
1991,Bronze Ball,1
1991,Bronze Boot,2
1991,Golden Ball,1
1991,Golden Boot,1
1991,Silver Ball,1
1991,Silver Boot,1
1994,Best Young Player,1
1994,Bronze Ball,1
1994,Bronze Boot,2
1994,Golden Ball,1
1994,Golden Boot,2
1994,Golden Glove,1
1994,Silver Ball,1
1995,Bronze Ball,1
1995,Bronze Boot,1
1995,Golden Ball,1
1995,Golden Boot,1
1995,Silver Ball,1
1995,Silver Boot,1
1998,Best Young Player,1
1998,Bronze Ball,1
1998,Golden Ball,1
1998,Golden Boot,1
1998,Golden Glove,1
1998,Silver Ball,1
1998,Silver Boot,2
1999,Bronze Ball,1
1999,Bronze Boot,1
1999,Golden Ball,1
1999,Golden Boot,2
1999,Golden Glove,2
1999,Silver Ball,1
2002,Best Young Player,1
2002,Bronze Ball,1
2002,Golden Ball,1
2002,Golden Boot,1
2002,Golden Glove,1
2002,Silver Ball,1
2002,Silver Boot,2
2003,Bronze Ball,1
2003,Bronze Boot,1
2003,Golden Ball,1
2003,Golden Boot,1
2003,Golden Glove,1
2003,Silver Ball,1
2003,Silver Boot,1
2006,Best Young Player,1
2006,Bronze Ball,1
2006,Bronze Boot,1
2006,Golden Ball,1
2006,Golden Boot,1
2006,Golden Glove,1
2006,Silver Ball,1
2006,Silver Boot,1
2007,Bronze Ball,1
2007,Bronze Boot,1
2007,Golden Ball,1
2007,Golden Boot,1
2007,Golden Glove,1
2007,Silver Ball,1
2007,Silver Boot,1
2010,Best Young Player,1
2010,Bronze Ball,1
2010,Bronze Boot,1
2010,Golden Ball,1
2010,Golden Boot,1
2010,Golden Glove,1
2010,Silver Ball,1
2010,Silver Boot,1
2011,Best Young Player,1
2011,Bronze Ball,1
2011,Bronze Boot,1
2011,Golden Ball,1
2011,Golden Boot,1
2011,Golden Glove,1
2011,Silver Ball,1
2011,Silver Boot,1
2014,Best Young Player,1
2014,Bronze Ball,1
2014,Bronze Boot,1
2014,Golden Ball,1
2014,Golden Boot,1
2014,Golden Glove,1
2014,Silver Ball,1
2014,Silver Boot,1
2015,Best Young Player,1
2015,Bronze Ball,1
2015,Bronze Boot,1
2015,Golden Ball,1
2015,Golden Boot,1
2015,Golden Glove,1
2015,Silver Ball,1
2015,Silver Boot,1
2018,Best Young Player,1
2018,Bronze Ball,1
2018,Bronze Boot,1
2018,Golden Ball,1
2018,Golden Boot,1
2018,Golden Glove,1
2018,Silver Ball,1
2018,Silver Boot,1
2019,Best Young Player,1
2019,Bronze Ball,1
2019,Bronze Boot,1
2019,Golden Ball,1
2019,Golden Boot,1
2019,Golden Glove,1
2019,Silver Ball,1
2019,Silver Boot,1
2022,Best Young Player,1
2022,Bronze Ball,1
2022,Bronze Boot,1
2022,Golden Ball,1
2022,Golden Boot,1
2022,Golden Glove,1
2022,Silver Ball,1
2022,Silver Boot,1
