team_id,goals_avg
T-01,1.0
T-02,0.33
T-03,1.59
T-04,1.26
T-05,1.14
T-06,1.33
T-07,0.17
T-08,1.33
T-09,2.08
T-10,0.86
T-11,1.0
T-12,1.15
T-13,1.17
T-14,1.83
T-15,0.67
T-16,1.29
T-17,1.1
T-18,1.39
T-20,1.0
T-21,1.18
T-22,1.33
T-24,0.83
T-25,1.0
T-26,0.5
T-27,0.17
T-28,1.47
T-29,0.67
T-30,1.69
T-31,2.75
T-32,1.0
T-33,0.44
T-34,0.67
T-35,0.33
T-36,2.75
T-37,0.67
T-38,0.72
T-39,0.33
T-40,0.33
T-41,1.4
T-42,1.33
T-43,0.67
T-44,1.04
T-45,0.67
T-46,1.02
T-47,1.0
T-48,1.85
T-49,0.57
T-50,0.9
T-51,0.83
T-52,1.0
T-53,2.6
T-54,0.67
T-55,1.36
T-56,1.12
T-57,1.22
T-58,1.83
T-59,0.33
T-60,1.0
T-61,1.43
T-62,2.0
T-63,0.72
T-64,1.15
T-65,1.56
T-66,1.0
T-67,0.67
T-68,1.33
T-69,0.83
T-70,1.0
T-71,0.95
T-72,1.91
T-73,1.62
T-74,1.58
T-75,1.44
T-76,0.67
T-77,0.33
T-78,0.0
T-79,0.78
T-80,2.6
T-81,1.67
T-82,0.67
T-83,2.08
T-84,1.49
T-85,0.5
T-86,2.08
T-87,1.93
T-88,0.0
