tournament_id,team_id,year,goals_for,goals_against,points
WC-1930,T-03,1930,10,4,6
WC-1930,T-06,1930,0,4,0
WC-1930,T-07,1930,0,8,0
WC-1930,T-09,1930,5,2,2
WC-1930,T-13,1930,5,3,4
WC-1930,T-30,1930,4,3,2
WC-1930,T-46,1930,4,13,0
WC-1930,T-55,1930,1,3,2
WC-1930,T-56,1930,1,4,0
WC-1930,T-61,1930,3,5,2
WC-1930,T-83,1930,6,0,4
WC-1930,T-84,1930,5,0,4
WC-1930,T-87,1930,6,1,4
WC-1950,T-07,1950,0,8,0
WC-1950,T-09,1950,22,6,9
WC-1950,T-13,1950,5,6,2
WC-1950,T-28,1950,2,2,2
WC-1950,T-41,1950,4,3,2
WC-1950,T-46,1950,2,10,0
WC-1950,T-55,1950,2,4,1
WC-1950,T-73,1950,10,12,7
WC-1950,T-74,1950,11,15,5
WC-1950,T-75,1950,4,6,3
WC-1950,T-83,1950,4,8,2
WC-1950,T-84,1950,15,5,7
WC-1950,T-87,1950,7,3,4
WC-1954,T-05,1954,6,0,4
WC-1954,T-06,1954,5,8,1
WC-1954,T-09,1954,6,1,3
WC-1954,T-21,1954,0,7,0
WC-1954,T-28,1954,6,4,3
WC-1954,T-30,1954,3,3,2
WC-1954,T-36,1954,17,3,4
WC-1954,T-41,1954,5,3,2
WC-1954,T-46,1954,2,8,0
WC-1954,T-64,1954,0,8,0
WC-1954,T-71,1954,0,16,0
WC-1954,T-75,1954,2,3,2
WC-1954,T-80,1954,8,4,2
WC-1954,T-84,1954,9,0,4
WC-1954,T-86,1954,7,9,2
WC-1954,T-87,1954,2,1,3
WC-1958,T-03,1958,5,10,2
WC-1958,T-05,1958,2,7,1
WC-1958,T-09,1958,5,0,5
WC-1958,T-21,1958,8,4,3
WC-1958,T-28,1958,4,4,3
WC-1958,T-30,1958,11,7,4
WC-1958,T-36,1958,6,3,3
WC-1958,T-46,1958,1,8,1
WC-1958,T-52,1958,4,5,3
WC-1958,T-55,1958,9,12,3
WC-1958,T-64,1958,4,6,1
WC-1958,T-72,1958,4,4,3
WC-1958,T-74,1958,5,1,5
WC-1958,T-85,1958,2,2,3
WC-1958,T-86,1958,7,5,4
WC-1958,T-87,1958,7,6,4
WC-1962,T-03,1962,2,3,3
WC-1962,T-09,1962,4,1,5
WC-1962,T-10,1962,1,7,1
WC-1962,T-13,1962,5,3,4
WC-1962,T-16,1962,5,11,1
WC-1962,T-21,1962,2,3,3
WC-1962,T-28,1962,4,3,3
WC-1962,T-36,1962,8,2,5
WC-1962,T-41,1962,3,2,3
WC-1962,T-46,1962,3,4,2
WC-1962,T-72,1962,8,5,5
WC-1962,T-73,1962,2,3,2
WC-1962,T-75,1962,2,8,0
WC-1962,T-84,1962,4,6,2
WC-1962,T-86,1962,4,1,5
WC-1962,T-87,1962,8,3,4
WC-1966,T-03,1966,4,1,5
WC-1966,T-09,1966,4,6,2
WC-1966,T-10,1966,1,8,0
WC-1966,T-13,1966,2,5,1
WC-1966,T-28,1966,4,0,5
WC-1966,T-30,1966,2,5,1
WC-1966,T-36,1966,7,5,4
WC-1966,T-41,1966,2,2,2
WC-1966,T-46,1966,1,3,2
WC-1966,T-51,1966,2,4,3
WC-1966,T-58,1966,9,2,6
WC-1966,T-72,1966,6,1,6
WC-1966,T-73,1966,4,5,2
WC-1966,T-75,1966,1,9,0
WC-1966,T-84,1966,2,1,4
WC-1966,T-86,1966,7,1,5
WC-1970,T-06,1970,4,5,2
WC-1970,T-09,1970,8,3,6
WC-1970,T-10,1970,5,9,1
WC-1970,T-21,1970,2,7,0
WC-1970,T-27,1970,0,9,0
WC-1970,T-28,1970,2,1,4
WC-1970,T-40,1970,1,3,2
WC-1970,T-41,1970,1,0,4
WC-1970,T-46,1970,5,0,5
WC-1970,T-47,1970,2,6,1
WC-1970,T-56,1970,7,5,4
WC-1970,T-61,1970,4,5,2
WC-1970,T-72,1970,6,1,5
WC-1970,T-74,1970,2,2,3
WC-1970,T-84,1970,2,1,3
WC-1970,T-86,1970,10,4,6
WC-1974,T-03,1974,9,12,4
WC-1974,T-04,1974,0,5,1
WC-1974,T-09,1974,6,3,8
WC-1974,T-10,1974,2,5,2
WC-1974,T-13,1974,1,2,2
WC-1974,T-24,1974,5,5,6
WC-1974,T-34,1974,2,14,0
WC-1974,T-41,1974,5,4,3
WC-1974,T-48,1974,14,1,11
WC-1974,T-57,1974,15,5,10
WC-1974,T-64,1974,3,1,4
WC-1974,T-74,1974,7,6,6
WC-1974,T-84,1974,1,6,1
WC-1974,T-86,1974,11,3,10
WC-1974,T-87,1974,12,7,4
WC-1974,T-88,1974,0,14,0
WC-1978,T-03,1978,12,3,9
WC-1978,T-05,1978,7,10,6
WC-1978,T-09,1978,8,2,9
WC-1978,T-30,1978,5,5,2
WC-1978,T-36,1978,3,8,0
WC-1978,T-38,1978,2,8,1
WC-1978,T-41,1978,8,4,9
WC-1978,T-46,1978,2,12,0
WC-1978,T-48,1978,14,7,8
WC-1978,T-56,1978,7,12,5
WC-1978,T-57,1978,6,6,7
WC-1978,T-64,1978,5,6,3
WC-1978,T-73,1978,2,2,3
WC-1978,T-74,1978,1,3,1
WC-1978,T-79,1978,3,2,3
WC-1978,T-86,1978,10,5,6
WC-1982,T-01,1982,5,5,4
WC-1982,T-03,1982,8,7,4
WC-1982,T-05,1982,5,4,5
WC-1982,T-06,1982,3,5,5
WC-1982,T-09,1982,15,6,8
WC-1982,T-11,1982,1,1,3
WC-1982,T-13,1982,3,8,0
WC-1982,T-21,1982,2,4,2
WC-1982,T-27,1982,1,13,0
WC-1982,T-28,1982,6,1,8
WC-1982,T-30,1982,11,6,7
WC-1982,T-35,1982,2,3,2
WC-1982,T-36,1982,12,6,3
WC-1982,T-41,1982,7,5,7
WC-1982,T-45,1982,2,6,1
WC-1982,T-49,1982,2,12,0
WC-1982,T-52,1982,5,7,5
WC-1982,T-56,1982,2,6,2
WC-1982,T-57,1982,8,1,7
WC-1982,T-64,1982,8,8,3
WC-1982,T-72,1982,7,4,6
WC-1982,T-73,1982,4,5,4
WC-1982,T-86,1982,8,4,7
WC-1982,T-87,1982,2,2,3
WC-1986,T-01,1986,1,5,1
WC-1986,T-03,1986,6,2,5
WC-1986,T-06,1986,5,5,3
WC-1986,T-09,1986,5,0,6
WC-1986,T-10,1986,2,4,2
WC-1986,T-12,1986,0,5,0
WC-1986,T-22,1986,9,1,6
WC-1986,T-28,1986,3,1,3
WC-1986,T-30,1986,5,1,5
WC-1986,T-36,1986,2,9,2
WC-1986,T-39,1986,1,4,0
WC-1986,T-41,1986,5,4,4
WC-1986,T-46,1986,4,2,5
WC-1986,T-47,1986,3,1,4
WC-1986,T-52,1986,2,6,1
WC-1986,T-55,1986,4,3,4
WC-1986,T-57,1986,1,3,3
WC-1986,T-58,1986,2,4,2
WC-1986,T-64,1986,1,3,1
WC-1986,T-71,1986,4,7,1
WC-1986,T-72,1986,9,1,5
WC-1986,T-73,1986,5,2,4
WC-1986,T-84,1986,2,7,2
WC-1986,T-86,1986,3,4,3
WC-1990,T-03,1990,3,2,3
WC-1990,T-05,1990,2,3,2
WC-1990,T-06,1990,6,3,4
WC-1990,T-09,1990,4,1,6
WC-1990,T-11,1990,3,5,4
WC-1990,T-16,1990,3,2,3
WC-1990,T-17,1990,3,2,4
WC-1990,T-21,1990,6,3,4
WC-1990,T-26,1990,1,2,2
WC-1990,T-28,1990,2,1,4
WC-1990,T-41,1990,4,0,6
WC-1990,T-48,1990,2,2,3
WC-1990,T-60,1990,2,2,3
WC-1990,T-61,1990,4,3,3
WC-1990,T-64,1990,2,3,2
WC-1990,T-71,1990,1,6,0
WC-1990,T-72,1990,4,4,2
WC-1990,T-73,1990,5,2,5
WC-1990,T-74,1990,3,6,0
WC-1990,T-82,1990,2,11,0
WC-1990,T-83,1990,2,8,0
WC-1990,T-84,1990,2,3,3
WC-1990,T-86,1990,10,3,5
WC-1990,T-87,1990,6,5,4
WC-1991,T-09,1991,1,7,2
WC-1991,T-14,1991,10,3,5
WC-1991,T-15,1991,2,8,2
WC-1991,T-22,1991,6,4,3
WC-1991,T-31,1991,9,0,6
WC-1991,T-41,1991,6,2,4
WC-1991,T-44,1991,0,12,0
WC-1991,T-49,1991,1,11,0
WC-1991,T-50,1991,0,7,0
WC-1991,T-53,1991,6,5,4
WC-1991,T-74,1991,12,3,4
