,goal_id,match_id,player_id,player_team_id,penalty
0,G-0001,M-1930-01,P-05470,T-30,0
1,G-0002,M-1930-01,P-99087,T-30,0
2,G-0003,M-1930-01,P-60620,T-30,0
3,G-0004,M-1930-01,P-94135,T-46,0
4,G-0005,M-1930-01,P-60620,T-30,0
5,G-0006,M-1930-02,P-65185,T-83,0
6,G-0007,M-1930-02,P-37361,T-83,0
7,G-0008,M-1930-02,P-71973,T-83,0
8,G-0009,M-1930-03,P-43349,T-87,0
9,G-0010,M-1930-03,P-43734,T-87,0
10,G-0011,M-1930-03,P-91171,T-09,0
11,G-0012,M-1930-04,P-91295,T-61,0
12,G-0013,M-1930-04,P-44010,T-56,0
13,G-0014,M-1930-04,P-18615,T-61,0
14,G-0015,M-1930-04,P-70294,T-61,0
15,G-0016,M-1930-05,P-25760,T-03,0
16,G-0017,M-1930-06,P-61338,T-13,0
17,G-0018,M-1930-06,P-89481,T-46,0
18,G-0019,M-1930-06,P-61338,T-13,0
19,G-0020,M-1930-07,P-43734,T-87,0
20,G-0021,M-1930-07,P-75929,T-87,0
21,G-0022,M-1930-07,P-43734,T-87,0
22,G-0023,M-1930-07,P-33565,T-87,0
23,G-0024,M-1930-08,P-71973,T-83,0
24,G-0025,M-1930-08,P-71973,T-83,0
25,G-0026,M-1930-08,P-71973,T-83,0
26,G-0027,M-1930-09,P-54697,T-84,0
27,G-0028,M-1930-10,P-08459,T-13,0
28,G-0029,M-1930-11,P-56486,T-03,0
29,G-0030,M-1930-11,P-76546,T-03,0
30,G-0031,M-1930-11,P-56486,T-03,0
31,G-0032,M-1930-11,P-89481,T-46,1
32,G-0033,M-1930-11,P-37326,T-03,0
33,G-0034,M-1930-11,P-76546,T-03,0
34,G-0035,M-1930-11,P-89481,T-46,0
35,G-0036,M-1930-11,P-31066,T-46,0
36,G-0037,M-1930-11,P-56486,T-03,0
37,G-0038,M-1930-12,P-83987,T-09,0
38,G-0039,M-1930-12,P-91171,T-09,0
39,G-0040,M-1930-12,P-83987,T-09,0
40,G-0041,M-1930-12,P-91171,T-09,0
41,G-0042,M-1930-13,P-06201,T-55,0
42,G-0043,M-1930-14,P-38674,T-84,0
43,G-0044,M-1930-14,P-44201,T-84,0
44,G-0045,M-1930-14,P-57352,T-84,0
45,G-0046,M-1930-14,P-18628,T-84,0
46,G-0047,M-1930-15,P-56486,T-03,0
47,G-0048,M-1930-15,P-56486,T-03,0
48,G-0049,M-1930-15,P-08459,T-13,0
49,G-0050,M-1930-15,P-23897,T-03,0
50,G-0051,M-1930-16,P-25760,T-03,0
51,G-0052,M-1930-16,P-44916,T-03,0
52,G-0053,M-1930-16,P-56486,T-03,0
53,G-0054,M-1930-16,P-70166,T-03,0
54,G-0055,M-1930-16,P-70166,T-03,0
55,G-0056,M-1930-16,P-56486,T-03,0
56,G-0057,M-1930-16,P-06424,T-83,0
57,G-0058,M-1930-17,P-33565,T-87,0
58,G-0059,M-1930-17,P-18628,T-84,0
59,G-0060,M-1930-17,P-57352,T-84,0
60,G-0061,M-1930-17,P-57352,T-84,0
61,G-0062,M-1930-17,P-31959,T-84,0
62,G-0063,M-1930-17,P-18628,T-84,0
63,G-0064,M-1930-17,P-18628,T-84,0
64,G-0065,M-1930-18,P-38674,T-84,0
65,G-0066,M-1930-18,P-70166,T-03,0
66,G-0067,M-1930-18,P-56486,T-03,0
67,G-0068,M-1930-18,P-18628,T-84,0
68,G-0069,M-1930-18,P-31959,T-84,0
69,G-0070,M-1930-18,P-54697,T-84,0
70,G-0071,M-1934-01,P-70804,T-30,0
71,G-0072,M-1934-01,P-11865,T-05,0
72,G-0073,M-1934-01,P-87474,T-05,0
73,G-0074,M-1934-01,P-51668,T-05,0
74,G-0075,M-1934-01,P-13166,T-30,1
75,G-0076,M-1934-02,P-55855,T-61,0
76,G-0077,M-1934-02,P-51219,T-21,0
77,G-0078,M-1934-02,P-60513,T-21,0
78,G-0079,M-1934-03,P-04241,T-31,0
79,G-0080,M-1934-03,P-85443,T-06,0
80,G-0081,M-1934-03,P-85443,T-06,0
81,G-0082,M-1934-03,P-53238,T-31,0
82,G-0083,M-1934-03,P-77348,T-31,0
83,G-0084,M-1934-03,P-77348,T-31,0
