,key_id,tournament_id,stage_number,stage_name,group_name,position,team_id,played,wins,draws,losses,goals_for,goals_against,points,advanced
0,1,WC-1930,1,group stage,Group 1,1,T-03,3,3,0,0,10,4,6,1
1,2,WC-1930,1,group stage,Group 1,2,T-13,3,2,0,1,5,3,4,0
2,3,WC-1930,1,group stage,Group 1,3,T-30,3,1,0,2,4,3,2,0
3,4,WC-1930,1,group stage,Group 1,4,T-46,3,0,0,3,4,13,0,0
4,5,WC-1930,1,group stage,Group 2,1,T-87,2,2,0,0,6,1,4,1
5,6,WC-1930,1,group stage,Group 2,2,T-09,2,1,0,1,5,2,2,0
6,7,WC-1930,1,group stage,Group 2,3,T-07,2,0,0,2,0,8,0,0
7,8,WC-1930,1,group stage,Group 3,1,T-84,2,2,0,0,5,0,4,1
8,9,WC-1930,1,group stage,Group 3,2,T-61,2,1,0,1,3,5,2,0
9,10,WC-1930,1,group stage,Group 3,3,T-56,2,0,0,2,1,4,0,0
10,11,WC-1930,1,group stage,Group 4,1,T-83,2,2,0,0,6,0,4,1
11,12,WC-1930,1,group stage,Group 4,2,T-55,2,1,0,1,1,3,2,0
12,13,WC-1930,1,group stage,Group 4,3,T-06,2,0,0,2,0,4,0,0
13,14,WC-1950,1,first round,Group 1,1,T-09,3,2,1,0,8,2,5,1
14,15,WC-1950,1,first round,Group 1,2,T-87,3,2,0,1,7,3,4,0
15,16,WC-1950,1,first round,Group 1,3,T-75,3,1,1,1,4,6,3,0
16,17,WC-1950,1,first round,Group 1,4,T-46,3,0,0,3,2,10,0,0
17,18,WC-1950,1,first round,Group 2,1,T-73,3,3,0,0,6,1,6,1
18,19,WC-1950,1,first round,Group 2,2,T-28,3,1,0,2,2,2,2,0
19,20,WC-1950,1,first round,Group 2,3,T-13,3,1,0,2,5,6,2,0
20,21,WC-1950,1,first round,Group 2,4,T-83,3,1,0,2,4,8,2,0
21,22,WC-1950,1,first round,Group 3,1,T-74,2,1,1,0,5,4,3,1
22,23,WC-1950,1,first round,Group 3,2,T-41,2,1,0,1,4,3,2,0
23,24,WC-1950,1,first round,Group 3,3,T-55,2,0,1,1,2,4,1,0
24,25,WC-1950,1,first round,Group 4,1,T-84,1,1,0,0,8,0,2,1
25,26,WC-1950,1,first round,Group 4,2,T-07,1,0,0,1,0,8,0,0
26,27,WC-1950,2,final round,Group 1,1,T-84,3,2,1,0,7,5,5,1
27,28,WC-1950,2,final round,Group 1,2,T-09,3,2,0,1,14,4,4,0
28,29,WC-1950,2,final round,Group 1,3,T-74,3,1,0,2,6,11,2,0
29,30,WC-1950,2,final round,Group 1,4,T-73,3,0,1,2,4,11,1,0
30,31,WC-1954,1,group stage,Group 1,1,T-09,2,1,1,0,6,1,3,1
31,32,WC-1954,1,group stage,Group 1,2,T-87,2,1,1,0,2,1,3,1
32,33,WC-1954,1,group stage,Group 1,3,T-30,2,1,0,1,3,3,2,0
33,34,WC-1954,1,group stage,Group 1,4,T-46,2,0,0,2,2,8,0,0
34,35,WC-1954,1,group stage,Group 2,1,T-36,2,2,0,0,17,3,4,1
