,tournament_id,tournament_name,match_id,match_name,stage_name,group_stage,knockout_stage,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,result,home_team_win,away_team_win,draw
0,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,group stage,1,0,T-30,"France, FRA",FRA,T-46,"Mexico, MEX",MEX,4–1,4,1,3,-3,home team win,1,0,0
1,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,group stage,1,0,T-83,"United States, USA",USA,T-06,"Belgium, BEL",BEL,3–0,3,0,3,-3,home team win,1,0,0
2,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,group stage,1,0,T-87,"Yugoslavia, YUG",YUG,T-09,"Brazil, BRA",BRA,2–1,2,1,1,-1,home team win,1,0,0
3,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,group stage,1,0,T-61,"Romania, ROU",ROU,T-56,"Peru, PER",PER,3–1,3,1,2,-2,home team win,1,0,0
4,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,group stage,1,0,T-03,"Argentina, ARG",ARG,T-30,"France, FRA",FRA,1–0,1,0,1,-1,home team win,1,0,0
5,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,group stage,1,0,T-13,"Chile, CHL",CHL,T-46,"Mexico, MEX",MEX,3–0,3,0,3,-3,home team win,1,0,0
6,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,group stage,1,0,T-87,"Yugoslavia, YUG",YUG,T-07,"Bolivia, BOL",BOL,4–0,4,0,4,-4,home team win,1,0,0
7,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,group stage,1,0,T-83,"United States, USA",USA,T-55,"Paraguay, PRY",PRY,3–0,3,0,3,-3,home team win,1,0,0
8,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,group stage,1,0,T-84,"Uruguay, URY",URY,T-56,"Peru, PER",PER,1–0,1,0,1,-1,home team win,1,0,0
9,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,group stage,1,0,T-13,"Chile, CHL",CHL,T-30,"France, FRA",FRA,1–0,1,0,1,-1,home team win,1,0,0
10,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,group stage,1,0,T-03,"Argentina, ARG",ARG,T-46,"Mexico, MEX",MEX,6–3,6,3,3,-3,home team win,1,0,0
11,WC-1930,1930 FIFA Men's World Cup,M-1930-12,Brazil vs Bolivia,group stage,1,0,T-09,"Brazil, BRA",BRA,T-07,"Bolivia, BOL",BOL,4–0,4,0,4,-4,home team win,1,0,0
12,WC-1930,1930 FIFA Men's World Cup,M-1930-13,Paraguay vs Belgium,group stage,1,0,T-55,"Paraguay, PRY",PRY,T-06,"Belgium, BEL",BEL,1–0,1,0,1,-1,home team win,1,0,0
13,WC-1930,1930 FIFA Men's World Cup,M-1930-14,Uruguay vs Romania,group stage,1,0,T-84,"Uruguay, URY",URY,T-61,"Romania, ROU",ROU,4–0,4,0,4,-4,home team win,1,0,0
14,WC-1930,1930 FIFA Men's World Cup,M-1930-15,Argentina vs Chile,group stage,1,0,T-03,"Argentina, ARG",ARG,T-13,"Chile, CHL",CHL,3–1,3,1,2,-2,home team win,1,0,0
15,WC-1930,1930 FIFA Men's World Cup,M-1930-16,Argentina vs United States,semi-finals,0,1,T-03,"Argentina, ARG",ARG,T-83,"United States, USA",USA,6–1,6,1,5,-5,home team win,1,0,0
16,WC-1930,1930 FIFA Men's World Cup,M-1930-17,Uruguay vs Yugoslavia,semi-finals,0,1,T-84,"Uruguay, URY",URY,T-87,"Yugoslavia, YUG",YUG,6–1,6,1,5,-5,home team win,1,0,0
17,WC-1930,1930 FIFA Men's World Cup,M-1930-18,Uruguay vs Argentina,final,0,1,T-84,"Uruguay, URY",URY,T-03,"Argentina, ARG",ARG,4–2,4,2,2,-2,home team win,1,0,0
18,WC-1934,1934 FIFA Men's World Cup,M-1934-01,Austria vs France,round of 16,0,1,T-05,"Austria, AUT",AUT,T-30,"France, FRA",FRA,3–2,3,2,1,-1,home team win,1,0,0
19,WC-1934,1934 FIFA Men's World Cup,M-1934-02,Czechoslovakia vs Romania,round of 16,0,1,T-21,"Czechoslovakia, CSK",CSK,T-61,"Romania, ROU",ROU,2–1,2,1,1,-1,home team win,1,0,0
20,WC-1934,1934 FIFA Men's World Cup,M-1934-03,Germany vs Belgium,round of 16,0,1,T-31,"Germany, DEU",DEU,T-06,"Belgium, BEL",BEL,5–2,5,2,3,-3,home team win,1,0,0
21,WC-1934,1934 FIFA Men's World Cup,M-1934-04,Hungary vs Egypt,round of 16,0,1,T-36,"Hungary, HUN",HUN,T-26,"Egypt, EGY",EGY,4–2,4,2,2,-2,home team win,1,0,0
22,WC-1934,1934 FIFA Men's World Cup,M-1934-05,Italy vs United States,round of 16,0,1,T-41,"Italy, ITA",ITA,T-83,"United States, USA",USA,7–1,7,1,6,-6,home team win,1,0,0
23,WC-1934,1934 FIFA Men's World Cup,M-1934-06,Spain vs Brazil,round of 16,0,1,T-73,"Spain, ESP",ESP,T-09,"Brazil, BRA",BRA,3–1,3,1,2,-2,home team win,1,0,0
24,WC-1934,1934 FIFA Men's World Cup,M-1934-07,Sweden vs Argentina,round of 16,0,1,T-74,"Sweden, SWE",SWE,T-03,"Argentina, ARG",ARG,3–2,3,2,1,-1,home team win,1,0,0
25,WC-1934,1934 FIFA Men's World Cup,M-1934-08,Switzerland vs Netherlands,round of 16,0,1,T-75,"Switzerland, CHE",CHE,T-48,"Netherlands, NLD",NLD,3–2,3,2,1,-1,home team win,1,0,0
26,WC-1934,1934 FIFA Men's World Cup,M-1934-09,Austria vs Hungary,quarter-finals,0,1,T-05,"Austria, AUT",AUT,T-36,"Hungary, HUN",HUN,2–1,2,1,1,-1,home team win,1,0,0
27,WC-1934,1934 FIFA Men's World Cup,M-1934-10,Czechoslovakia vs Switzerland,quarter-finals,0,1,T-21,"Czechoslovakia, CSK",CSK,T-75,"Switzerland, CHE",CHE,3–2,3,2,1,-1,home team win,1,0,0
28,WC-1934,1934 FIFA Men's World Cup,M-1934-11,Germany vs Sweden,quarter-finals,0,1,T-31,"Germany, DEU",DEU,T-74,"Sweden, SWE",SWE,2–1,2,1,1,-1,home team win,1,0,0
29,WC-1934,1934 FIFA Men's World Cup,M-1934-12,Italy vs Spain,quarter-finals,0,1,T-41,"Italy, ITA",ITA,T-73,"Spain, ESP",ESP,1–1,1,1,0,0,draw,0,0,1
30,WC-1934,1934 FIFA Men's World Cup,M-1934-13,Italy vs Spain,quarter-finals,0,1,T-41,"Italy, ITA",ITA,T-73,"Spain, ESP",ESP,1–0,1,0,1,-1,home team win,1,0,0
31,WC-1934,1934 FIFA Men's World Cup,M-1934-14,Czechoslovakia vs Germany,semi-finals,0,1,T-21,"Czechoslovakia, CSK",CSK,T-31,"Germany, DEU",DEU,3–1,3,1,2,-2,home team win,1,0,0
32,WC-1934,1934 FIFA Men's World Cup,M-1934-15,Italy vs Austria,semi-finals,0,1,T-41,"Italy, ITA",ITA,T-05,"Austria, AUT",AUT,1–0,1,0,1,-1,home team win,1,0,0
33,WC-1934,1934 FIFA Men's World Cup,M-1934-16,Germany vs Austria,third-place match,0,1,T-31,"Germany, DEU",DEU,T-05,"Austria, AUT",AUT,3–2,3,2,1,-1,home team win,1,0,0
