,penalty_kick_id,tournament_name,match_name,team_name,home_team,away_team,player_id,converted
0,PK-001,1982 FIFA Men's World Cup,West Germany vs France,West Germany,1,0,P-68969,1
1,PK-002,1982 FIFA Men's World Cup,West Germany vs France,West Germany,1,0,P-48686,1
2,PK-003,1982 FIFA Men's World Cup,West Germany vs France,West Germany,1,0,P-45695,0
3,PK-004,1982 FIFA Men's World Cup,West Germany vs France,West Germany,1,0,P-89975,1
4,PK-005,1982 FIFA Men's World Cup,West Germany vs France,West Germany,1,0,P-59574,1
5,PK-006,1982 FIFA Men's World Cup,West Germany vs France,West Germany,1,0,P-89949,1
6,PK-007,1982 FIFA Men's World Cup,West Germany vs France,France,0,1,P-79617,1
7,PK-008,1982 FIFA Men's World Cup,West Germany vs France,France,0,1,P-69834,1
8,PK-009,1982 FIFA Men's World Cup,West Germany vs France,France,0,1,P-99991,1
9,PK-010,1982 FIFA Men's World Cup,West Germany vs France,France,0,1,P-74565,0
10,PK-011,1982 FIFA Men's World Cup,West Germany vs France,France,0,1,P-08939,1
11,PK-012,1982 FIFA Men's World Cup,West Germany vs France,France,0,1,P-03719,0
12,PK-013,1986 FIFA Men's World Cup,Brazil vs France,Brazil,1,0,P-78605,0
13,PK-014,1986 FIFA Men's World Cup,Brazil vs France,Brazil,1,0,P-76896,1
14,PK-015,1986 FIFA Men's World Cup,Brazil vs France,Brazil,1,0,P-37483,1
15,PK-016,1986 FIFA Men's World Cup,Brazil vs France,Brazil,1,0,P-90842,1
16,PK-017,1986 FIFA Men's World Cup,Brazil vs France,Brazil,1,0,P-05820,0
17,PK-018,1986 FIFA Men's World Cup,Brazil vs France,France,0,1,P-22982,1
18,PK-019,1986 FIFA Men's World Cup,Brazil vs France,France,0,1,P-69834,1
19,PK-020,1986 FIFA Men's World Cup,Brazil vs France,France,0,1,P-12716,1
20,PK-021,1986 FIFA Men's World Cup,Brazil vs France,France,0,1,P-08939,0
21,PK-022,1986 FIFA Men's World Cup,Brazil vs France,France,0,1,P-00643,1
22,PK-023,1986 FIFA Men's World Cup,West Germany vs Mexico,West Germany,1,0,P-95392,1
23,PK-024,1986 FIFA Men's World Cup,West Germany vs Mexico,West Germany,1,0,P-67713,1
24,PK-025,1986 FIFA Men's World Cup,West Germany vs Mexico,West Germany,1,0,P-49502,1
25,PK-026,1986 FIFA Men's World Cup,West Germany vs Mexico,West Germany,1,0,P-89975,1
26,PK-027,1986 FIFA Men's World Cup,West Germany vs Mexico,Mexico,0,1,P-66199,1
27,PK-028,1986 FIFA Men's World Cup,West Germany vs Mexico,Mexico,0,1,P-28996,0
28,PK-029,1986 FIFA Men's World Cup,West Germany vs Mexico,Mexico,0,1,P-89412,0
29,PK-030,1986 FIFA Men's World Cup,Spain vs Belgium,Spain,1,0,P-32414,1
30,PK-031,1986 FIFA Men's World Cup,Spain vs Belgium,Spain,1,0,P-74307,0
31,PK-032,1986 FIFA Men's World Cup,Spain vs Belgium,Spain,1,0,P-31693,1
32,PK-033,1986 FIFA Men's World Cup,Spain vs Belgium,Spain,1,0,P-12940,1
33,PK-034,1986 FIFA Men's World Cup,Spain vs Belgium,Spain,1,0,P-91970,1
