,key_id,tournament_id,match_id,match_name,stage_name,group_name,team_id,home_team,player_id,shirt_number,position_name,position_code,starter
0,1,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-66980,1,goal keeper,GK,1
1,2,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-64553,3,defender,DF,1
2,3,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-42664,5,defender,DF,1
3,4,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-69898,6,midfielder,MF,1
4,5,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-56971,10,forward,FW,1
5,6,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-96177,13,defender,DF,1
6,7,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-38555,14,defender,DF,1
7,8,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-85808,15,midfielder,MF,1
8,9,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-32657,18,midfielder,MF,1
9,10,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-07812,19,forward,FW,1
10,11,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-48001,21,forward,FW,1
11,12,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-46,1,P-96873,8,midfielder,MF,0
12,13,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-72,0,P-79597,2,goal keeper,GK,1
13,14,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-72,0,P-17002,5,defender,DF,1
14,15,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-72,0,P-52906,6,defender,DF,1
15,16,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-72,0,P-70408,7,defender,DF,1
16,17,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-72,0,P-28651,9,defender,DF,1
17,18,WC-1970,M-1970-01,Mexico vs Soviet Union,group stage,Group 1,T-72,0,P-33189,11,midfielder,MF,1
