,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments
0,P-35894,A'Court,Alan,1934-09-30,0,0,0,0,1,1,1958
1,P-29915,Aarønes,Ann Kristin,1973-01-19,1,0,0,1,1,2,"1995, 1999"
2,P-03484,Aaronson,Brenden,2000-10-22,0,0,0,0,1,1,2022
3,P-04189,Abadzhiev,Stefan,1934-07-03,0,0,0,0,1,1,1966
4,P-03523,Abalo,Jean-Paul,1975-06-26,0,0,1,0,0,1,2006
5,P-84073,Abam,Michaela,1997-06-13,1,0,0,1,0,1,2019
6,P-35138,Abanda,Patrice,1978-08-03,0,0,1,0,0,1,1998
7,P-05170,Abass,Hamdya,1982-08-01,1,0,1,0,0,1,2007
8,P-75462,Abate,Ignazio,1986-11-12,0,0,1,0,0,1,2014
9,P-78277,Abbadie,Julio,1930-09-07,0,0,0,0,1,1,1954
10,P-07698,Abbé,Caroline,1988-01-13,1,0,1,0,0,1,2015
11,P-02042,Abbes,Claude,1927-05-24,0,1,0,0,0,2,"1954, 1958"
12,P-81393,Abbiati,Christian,1977-07-08,0,1,0,0,0,1,2002
13,P-86290,Abbondanzieri,Roberto,1972-08-19,0,1,0,0,0,1,2006
14,P-29132,Abd Al-Jawad,Mohamed,1962-11-28,0,0,1,0,0,1,1994
15,P-26446,Abdel Rahman,Adel,1967-12-11,0,0,0,0,1,1,1990
16,P-29161,Abdel Shafy,Mohamed,1985-07-01,0,0,1,0,0,1,2018
17,P-73679,Abdel-Hamid,Gamal,1957-11-24,0,0,0,1,0,1,1990
18,P-62193,Abdelghani,Magdi,1959-07-27,0,0,0,1,0,1,1990
19,P-61342,Abdellah,Nacer,1966-03-03,0,0,1,0,0,1,1994
20,P-64924,Abdi,Ali,1993-12-20,0,0,1,0,0,1,2022
21,P-98081,Abdollahi,Nasrollah,1951-09-02,0,0,1,0,0,1,1978
22,P-94880,Abdoun,Djamel,1986-02-14,0,0,0,1,0,1,2010
23,P-21820,Abdul Samed,Salis,2000-03-26,0,0,0,1,0,1,2022
24,P-77199,Abdulghani,Hussein,1977-01-21,0,0,1,0,0,2,"2002, 2006"
25,P-73110,Abdulghani,Hussein,1977-01-23,0,0,1,0,0,1,1998
26,P-08125,Abdulhamid,Saud,1999-07-18,0,0,1,0,0,1,2022
27,P-03048,Abdullah,Majed,1959-11-01,0,0,0,0,1,1,1994
28,P-75724,Abdullahi,Shehu,1993-03-12,0,0,1,0,0,1,2018
29,P-53430,Abdulrahman,Fahad,1962-10-10,0,0,0,1,0,1,1990
30,P-00148,Abe,Yuki,1981-09-06,0,0,0,1,0,1,2010
31,P-56772,Abedzadeh,Ahmad Reza,1966-05-25,0,1,0,0,0,1,1998
32,P-80505,Abedzadeh,Amir,1993-04-26,0,1,0,0,0,2,"2018, 2022"
